Time,Frame,r,Phi,Theta,FILE
240,24,8,0,90,image/output_000240_000002.png
240,24,8,0,135,image/output_000240_000003.png
240,24,8,0,180,image/output_000240_000004.png
240,24,8,0,225,image/output_000240_000005.png
240,24,8,0,270,image/output_000240_000006.png
240,24,8,0,315,image/output_000240_000007.png
240,24,8,45,0,image/output_000240_000008.png
240,24,8,45,45,image/output_000240_000009.png
240,24,8,45,90,image/output_000240_000010.png
240,24,8,45,135,image/output_000240_000011.png
240,24,8,45,180,image/output_000240_000012.png
240,24,8,45,225,image/output_000240_000013.png
240,24,8,45,270,image/output_000240_000014.png
240,24,8,45,315,image/output_000240_000015.png
240,24,8,90,0,image/output_000240_000016.png
240,24,8,90,45,image/output_000240_000017.png
240,24,8,90,90,image/output_000240_000018.png
240,24,8,90,135,image/output_000240_000019.png
240,24,8,90,180,image/output_000240_000020.png
240,24,8,90,225,image/output_000240_000021.png
240,24,8,90,270,image/output_000240_000022.png
240,24,8,90,315,image/output_000240_000023.png
250,25,8,0,0,image/output_000250_000000.png
250,25,8,0,45,image/output_000250_000001.png
250,25,8,0,90,image/output_000250_000002.png
250,25,8,0,135,image/output_000250_000003.png
250,25,8,0,180,image/output_000250_000004.png
250,25,8,0,225,image/output_000250_000005.png
250,25,8,0,270,image/output_000250_000006.png
250,25,8,0,315,image/output_000250_000007.png
250,25,8,45,0,image/output_000250_000008.png
250,25,8,45,45,image/output_000250_000009.png
250,25,8,45,90,image/output_000250_000010.png
250,25,8,45,135,image/output_000250_000011.png
250,25,8,45,180,image/output_000250_000012.png
250,25,8,45,225,image/output_000250_000013.png
250,25,8,45,270,image/output_000250_000014.png
250,25,8,45,315,image/output_000250_000015.png
250,25,8,90,0,image/output_000250_000016.png
250,25,8,90,45,image/output_000250_000017.png
250,25,8,90,90,image/output_000250_000018.png
250,25,8,90,135,image/output_000250_000019.png
250,25,8,90,180,image/output_000250_000020.png
250,25,8,90,225,image/output_000250_000021.png
250,25,8,90,270,image/output_000250_000022.png
250,25,8,90,315,image/output_000250_000023.png
260,26,8,0,0,image/output_000260_000000.png
260,26,8,0,45,image/output_000260_000001.png
260,26,8,0,90,image/output_000260_000002.png
260,26,8,0,135,image/output_000260_000003.png
260,26,8,0,180,image/output_000260_000004.png
260,26,8,0,225,image/output_000260_000005.png
